issue_id,issue_start_time,issue_end_time,issue_type,issue_description,student_id,subject_name,ip_address,exam_date
1,2020-12-08 05:39:34,2020-12-08 05:47:34,face_not_detected,Nullam molestie nibh in lectus.,2015VB82828,Data Mining,255.36.35.199,2020-12-08
2,2020-12-12 11:06:51,2020-12-12 11:12:51,image_view,Lorem ipsum dolor sit amet consectetuer adipiscing elit.,2017EI32068,Deep Learning,76.146.170.55,2020-12-12
3,2020-12-04 11:17:12,2020-12-04 11:26:12,connectivity,Nulla tellus.,2013SE61672,Data Visualization,219.130.12.102,2020-12-04
4,2020-12-15 12:35:10,2020-12-15 12:44:10,question_clarification,Aenean auctor gravida sem.,2019FX82453,Data Visualization,187.6.171.45,2020-12-15
5,2020-12-03 19:13:18,2020-12-03 19:20:18,power_failure,In quis justo.,2016LT71656,Deep Learning,182.183.73.43,2020-12-03
6,2020-12-02 00:04:50,2020-12-02 00:12:50,switch_application,Vestibulum rutrum rutrum neque.,2018YX50973,Big Data Systems,30.239.206.117,2020-12-02
7,2020-12-12 23:06:01,2020-12-12 23:16:01,switch_application,Vestibulum rutrum rutrum neque.,2013CT90429,Data Mining,240.206.112.31,2020-12-12
8,2020-12-09 13:53:29,2020-12-09 13:57:29,question_clarification,In hac habitasse platea dictumst.,2019VJ30571,Deep Learning,67.161.113.36,2020-12-09
9,2020-12-07 00:31:17,2020-12-07 00:36:17,software_failure,Praesent id massa id nisl venenatis lacinia.,2012YN23594,Machine Learning,137.10.185.208,2020-12-07
10,2020-12-02 12:54:02,2020-12-02 12:58:02,question_not_loaded,Vestibulum sed magna at nunc commodo placerat.,2019PQ27270,Deep Learning,157.69.36.19,2020-12-02
11,2020-12-11 22:09:56,2020-12-11 22:15:56,software_failure,Nulla mollis molestie lorem.,2019QD97449,Data Visualization,239.126.173.183,2020-12-11
12,2020-12-12 02:01:29,2020-12-12 02:03:29,software_failure,Sed ante.,2012UE70244,Data Visualization,24.103.195.6,2020-12-12
13,2020-12-09 18:56:48,2020-12-09 19:01:48,switch_application,Fusce consequat.,2010YF85878,Big Data Systems,48.90.176.103,2020-12-09
14,2020-12-13 10:25:03,2020-12-13 10:34:03,image_view,Suspendisse potenti.,2016GF24772,Deep Learning,12.84.192.141,2020-12-13
15,2020-12-02 22:59:18,2020-12-02 23:08:18,power_failure,Lorem ipsum dolor sit amet consectetuer adipiscing elit.,2016KO22362,Machine Learning,186.18.36.212,2020-12-02
16,2020-12-05 16:35:12,2020-12-05 16:39:12,connectivity,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.,2016LV07266,Data Visualization,21.187.13.58,2020-12-05
17,2020-12-03 02:08:30,2020-12-03 02:11:30,face_not_detected,Donec posuere metus vitae ipsum.,2016BY33807,Data Mining,153.144.74.79,2020-12-03
18,2020-12-15 01:19:06,2020-12-15 01:22:06,question_clarification,Morbi non quam nec dui luctus rutrum.,2019DF21249,Data Visualization,243.149.25.165,2020-12-15
19,2020-12-11 02:00:59,2020-12-11 02:09:59,image_view,Donec vitae nisi.,2010HV59174,Data Mining,32.103.122.250,2020-12-11
20,2020-12-10 20:57:48,2020-12-10 21:01:48,image_view,Vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl.,2010QP67960,Data Mining,79.11.36.201,2020-12-10
21,2020-12-10 20:30:20,2020-12-10 20:40:20,image_view,Maecenas ut massa quis augue luctus tincidunt.,2018QH83618,Deep Learning,57.209.139.115,2020-12-10
22,2020-12-13 01:17:27,2020-12-13 01:22:27,image_upload,Fusce lacus purus aliquet at feugiat non pretium quis lectus.,2019ZF47199,Deep Learning,0.188.48.124,2020-12-13
23,2020-12-14 23:54:38,2020-12-15 00:03:38,audio_detected,Etiam vel augue.,2016IF05398,Data Mining,246.12.221.122,2020-12-14
24,2020-12-02 15:14:27,2020-12-02 15:19:27,audio_detected,Vivamus tortor.,2012OR99622,Big Data Systems,41.72.113.33,2020-12-02
25,2020-12-04 02:20:00,2020-12-04 02:26:00,audio_detected,In sagittis dui vel nisl.,2019QA81162,Data Visualization,213.18.16.9,2020-12-04
26,2020-12-03 21:33:46,2020-12-03 21:42:46,switch_application,Ut tellus.,2019JE98288,Data Mining,35.233.16.193,2020-12-03
27,2020-12-09 18:37:05,2020-12-09 18:39:05,question_not_loaded,Integer pede justo lacinia eget tincidunt eget tempus vel pede.,2010DV23833,Data Mining,188.69.220.19,2020-12-09
28,2020-12-14 14:40:29,2020-12-14 14:44:29,software_failure,Sed accumsan felis.,2018ZW89856,Deep Learning,146.26.146.74,2020-12-14
29,2020-12-13 20:27:57,2020-12-13 20:30:57,question_not_loaded,Nunc nisl.,2013SH65260,Big Data Systems,6.136.41.172,2020-12-13
30,2020-12-10 09:35:58,2020-12-10 09:42:58,image_view,Nunc purus.,2010XI71345,Data Mining,153.133.200.75,2020-12-10
31,2020-12-15 10:27:04,2020-12-15 10:28:04,image_upload,Praesent blandit.,2010OK48866,Deep Learning,128.60.209.30,2020-12-15
32,2020-12-15 01:09:56,2020-12-15 01:11:56,connectivity,Aenean auctor gravida sem.,2013WT96467,Data Visualization,93.193.118.77,2020-12-15
33,2020-12-01 05:44:57,2020-12-01 05:51:57,image_view,Sed accumsan felis.,2012HR43649,Big Data Systems,108.72.125.93,2020-12-01
34,2020-12-07 19:19:58,2020-12-07 19:26:58,question_not_loaded,Nullam varius.,2013KG42236,Deep Learning,190.79.217.168,2020-12-07
35,2020-12-11 17:07:04,2020-12-11 17:08:04,question_clarification,Donec ut mauris eget massa tempor convallis.,2010MR92166,Data Visualization,3.206.15.11,2020-12-11
36,2020-12-11 15:52:33,2020-12-11 15:55:33,image_view,Nam tristique tortor eu pede.,2018VE87954,Deep Learning,170.36.157.119,2020-12-11
37,2020-12-07 01:47:36,2020-12-07 01:49:36,face_not_detected,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi.,2010UX50435,Machine Learning,133.234.68.210,2020-12-07
38,2020-12-06 09:47:15,2020-12-06 09:56:15,image_upload,Vivamus vestibulum sagittis sapien.,2018QJ47039,Data Visualization,242.190.90.112,2020-12-06
39,2020-12-09 23:35:38,2020-12-09 23:39:38,connectivity,Quisque arcu libero rutrum ac lobortis vel dapibus at diam.,2017ZI34891,Machine Learning,105.223.175.174,2020-12-09
40,2020-12-05 20:50:38,2020-12-05 21:00:38,face_not_detected,Fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue.,2011VM34923,Machine Learning,228.140.220.236,2020-12-05
41,2020-12-04 04:09:20,2020-12-04 04:16:20,switch_application,Fusce posuere felis sed lacus.,2017AM94519,Data Mining,123.40.246.144,2020-12-04
42,2020-12-15 10:14:19,2020-12-15 10:15:19,power_failure,Vivamus vestibulum sagittis sapien.,2014BA02862,Machine Learning,221.46.21.51,2020-12-15
43,2020-12-05 08:22:35,2020-12-05 08:25:35,face_not_detected,Praesent lectus.,2016LJ47418,Deep Learning,208.115.224.56,2020-12-05
44,2020-12-08 08:54:21,2020-12-08 08:58:21,audio_detected,Morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante.,2013FQ23214,Big Data Systems,109.148.4.194,2020-12-08
45,2020-12-11 18:12:54,2020-12-11 18:20:54,switch_application,Cras pellentesque volutpat dui.,2014HO04781,Data Mining,112.254.88.144,2020-12-11
46,2020-12-15 15:24:09,2020-12-15 15:34:09,switch_application,Pellentesque viverra pede ac diam.,2016BD50134,Machine Learning,44.102.122.193,2020-12-15
